"year","league","division","team","pctGamesWon","avgRunsScored","avgHits","avgTotalBases","avgHomeRuns","avgWalks","avgRunsAllowed","ERA","avgHitsAllowed","avgHomeRunsAllowed","avgWalksAllowed","avgErrors","fieldingPct","leagueWin","worldSeriesWin"
1985,"NL","Central","Pittsburgh Pirates",35.4,3.53,8.32,11.72,0.5,3.19,4.4,3.97,8.73,0.66,3.63,0.83,0.98,"N","N"
1985,"NL","West","San Diego Padres",51.23,4.01,8.67,12.52,0.67,3.17,3.84,3.4,8.64,0.78,2.73,0.77,0.98,"N","N"
1985,"AL","West","Seattle Mariners",45.68,4.44,8.7,14.05,1.06,3.48,5.05,4.68,8.99,0.95,3.93,0.75,0.98,"N","N"
1985,"NL","West","San Francisco Giants",38.27,3.43,7.8,11.65,0.71,3.01,4.16,3.61,8.32,0.77,3.53,0.91,0.98,"N","N"
1985,"NL","Central","St. Louis Cardinals",62.35,4.61,8.93,12.78,0.54,3.62,3.53,3.1,8.29,0.6,2.8,0.67,0.98,"Y","N"
1985,"AL","West","Texas Rangers",38.51,3.83,8.44,12.68,0.8,3.29,4.88,4.56,9.19,1.07,3.11,0.75,0.98,"N","N"
1985,"AL","East","Toronto Blue Jays",61.49,4.71,9.2,14.55,0.98,3.12,3.65,3.31,8.15,0.91,3.01,0.78,0.98,"N","N"
1986,"NL","East","Atlanta Braves",44.72,3.82,8.37,12.74,0.86,3.34,4.47,3.97,8.96,0.73,3.58,0.88,0.98,"N","N"
1986,"AL","East","Baltimore Orioles",45.06,4.37,8.8,13.46,1.04,3.48,4.69,4.3,8.96,1.09,3.3,0.83,0.98,"N","N"
1986,"AL","East","Boston Red Sox",59.01,4.93,9.24,14.17,0.89,3.7,4.32,3.93,9.12,1.04,2.94,0.8,0.98,"Y","N"
1986,"AL","West","Los Angeles Angels",56.79,4.85,8.56,13.56,1.03,4.14,4.22,3.84,8.37,0.94,2.95,0.66,0.98,"N","N"
1986,"AL","Central","Chicago White Sox",44.44,3.98,8.24,12.12,0.75,3.01,4.31,3.93,8.4,0.88,3.46,0.72,0.98,"N","N"
1986,"NL","Central","Chicago Cubs",43.75,4.25,8.81,13.66,0.97,3.17,4.88,4.49,9.66,0.89,3.48,0.78,0.98,"N","N"
1986,"NL","Central","Cincinnati Reds",53.09,4.52,8.67,13.23,0.89,3.62,4.43,3.91,9.04,0.84,3.23,0.86,0.98,"N","N"
1986,"AL","Central","Cleveland Guardians",51.85,5.1,9.94,15.04,0.96,2.8,5.16,4.58,9.5,1.02,3.71,0.96,0.98,"N","N"
1986,"AL","Central","Detroit Tigers",53.7,4.93,8.93,14.41,1.22,3.78,4.41,4.02,8.48,1.13,3.52,0.67,0.98,"N","N"
1986,"AL","West","Houston Astros",59.26,4.04,8.57,12.78,0.77,3.31,3.51,3.15,7.43,0.72,3.23,0.8,0.98,"N","N"
1986,"AL","Central","Kansas City Royals",46.91,4.04,8.66,13.38,0.85,2.93,4.15,3.82,8.72,0.75,2.96,0.76,0.98,"N","N"
1986,"NL","West","Los Angeles Dodgers",45.06,3.94,8.48,12.49,0.8,2.95,4.19,3.76,8.81,0.71,3.08,1.12,0.97,"N","N"
1986,"AL","Central","Minnesota Twins",43.83,4.57,8.93,14.62,1.21,3.09,5.18,4.77,9.75,1.23,3.1,0.73,0.98,"N","N"
1986,"NL","Central","Milwaukee Brewers",47.83,4.14,8.65,13.07,0.79,3.29,4.56,4.01,9.18,0.98,3.07,0.91,0.98,"N","N"
