"year","league","franchID","division","leagueWin","worldSeriesWin","ERA","fieldingPct","team","pctGamesWon","avgRunsScored","avgHits","avgTotalBases","avgHomeRuns","avgWalks","avgRunsAllowed","avgHitsAllowed","avgHomeRunsAllowed","avgWalksAllowed","avgErrors"
2014,"NL","ATL","East","N","N",3.38,0.986,"Atlanta Braves",48.7654320987654,3.53703703703704,8.12345679012346,12.1543209876543,0.759259259259259,2.91358024691358,3.68518518518519,8.45061728395062,0.746913580246914,2.91358024691358,0.524691358024691
2014,"AL","BAL","East","N","N",3.43,0.986,"Baltimore Orioles",59.2592592592593,4.35185185185185,8.85185185185185,14.5864197530864,1.30246913580247,2.47530864197531,3.66049382716049,8.28395061728395,0.932098765432099,2.91358024691358,0.537037037037037
2014,"AL","BOS","East","N","N",4.01,0.985,"Boston Red Sox",43.8271604938272,3.91358024691358,8.3641975308642,12.6296296296296,0.759259259259259,3.30246913580247,4.41358024691358,9,0.950617283950617,2.97530864197531,0.567901234567901
2014,"AL","CHW","Central","N","N",4.29,0.982,"Chicago White Sox",45.0617283950617,4.07407407407407,8.64197530864197,13.6296296296296,0.95679012345679,2.57407407407407,4.67901234567901,9.06172839506173,0.864197530864197,3.43827160493827,0.660493827160494
2014,"NL","CHC","Central","N","N",3.91,0.983,"Chicago Cubs",45.0617283950617,3.79012345679012,8.11728395061728,13.0740740740741,0.969135802469136,2.7283950617284,4.3641975308642,8.62962962962963,0.709876543209877,3.11111111111111,0.635802469135803
2014,"NL","CIN","Central","N","N",3.59,0.988,"Cincinnati Reds",46.9135802469136,3.67283950617284,7.91358024691358,12.1543209876543,0.808641975308642,2.56172839506173,3.77777777777778,7.91358024691358,1.00617283950617,3.12962962962963,0.444444444444444
2014,"AL","CLE","Central","N","N",3.56,0.981,"Cleveland Guardians",52.4691358024691,4.12962962962963,8.70987654320988,13.3765432098765,0.876543209876543,3.11111111111111,4.03086419753086,8.62962962962963,0.833333333333333,2.8641975308642,0.716049382716049
2014,"NL","COL","West","N","N",4.84,0.983,"Colorado Rockies",40.7407407407407,4.66049382716049,9.57407407407407,15.4197530864198,1.14814814814815,2.45061728395062,5.04938271604938,9.4320987654321,1.0679012345679,3.27777777777778,0.654320987654321
2014,"AL","DET","Central","N","N",4.01,0.983,"Detroit Tigers",55.5555555555556,4.67283950617284,9.61111111111111,14.8086419753086,0.95679012345679,2.73456790123457,4.35185185185185,9.10493827160494,0.783950617283951,2.85185185185185,0.623456790123457
2014,"AL","HOU","West","N","N",4.11,0.983,"Houston Astros",43.2098765432099,3.88271604938272,8.12962962962963,12.8641975308642,1.00617283950617,3.05555555555556,4.46296296296296,8.87037037037037,0.858024691358025,2.98765432098765,0.654320987654321
